Movie Names,Ratings,Release years,Durations,Age Restricition
Napoleon,6.6,2023,2h 38m,R
The Hunger Games: The Ballad of Songbirds & Snakes,7.2,2023,2h 37m,PG-13
Furiosa,7.5,2024,,
Saltburn,7.0,2023,2h 11m,R
Leo,8.4,2023,1h 42m,PG
Oppenheimer,5.9,2023,3h,R
Wish,6.8,2023,1h 35m,PG
The Killer,7.2,2023,1h 58m,R
May December,8.1,2023,1h 57m,R
The Holdovers,6.9,2023,2h 13m,R
Thanksgiving,7.4,2023,1h 46m,R
Animal,8.5,2023,3h 22m,
Gojira -1.0,8.0,2023,2h 4m,PG-13
Killers of the Flower Moon,6.5,2023,3h 26m,R
A Haunting in Venice,5.7,2023,1h 43m,PG-13
Candy Cane Lane,5.7,2023,1h 57m,PG
Family Switch,5.5,2023,1h 46m,PG
Wonka,8.5,2023,1h 56m,PG
Five Nights at Freddy's,6.0,2023,1h 49m,PG-13
Poor Things,5.9,2023,2h 21m,R
The Marvels,7.5,2023,1h 45m,PG-13
Silent Night,7.2,2023,1h 44m,R
National Lampoon's Christmas Vacation,6.9,1989,1h 37m,PG-13
The Hunger Games,6.0,2012,2h 22m,PG-13
The Creator,7.6,2023,2h 13m,PG-13
Trolls Band Together,5.4,2023,1h 31m,PG
Love Actually,7.4,2003,2h 15m,R
Freelance,7.7,2023,1h 48m,R
Leo,7.1,2023,2h 44m,
Night Swim,6.2,2024,1h 56m,PG-13
Home Alone,7.0,1990,1h 43m,PG
Elf,5.4,2003,1h 37m,PG
In the Land of Saints and Sinners,6.4,2023,1h 46m,R
Barbie,7.4,2023,1h 54m,PG-13
Istanbul Için Son Çagri,6.4,2023,1h 31m,TV-MA
No Hard Feelings,7.0,2023,1h 43m,R
Aquaman and the Lost Kingdom,6.6,2023,1h 55m,PG-13
Tiger 3,5.9,2023,2h 34m,
The Shift,6.0,2023,1h 55m,PG-13
Lady Ballers,7.4,2023,,
Indiana Jones and the Dial of Destiny,6.5,2023,2h 34m,PG-13
Genie,8.1,2023,1h 33m,PG
Blue Beetle,7.8,2023,2h 7m,PG-13
Dream Scenario,6.7,2023,1h 42m,R
X,7.2,2022,1h 45m,R
Anyone But You,4.3,2023,1h 40m,
Mad Max: Fury Road,6.3,2015,2h,R
Mission: Impossible - Dead Reckoning Part One,6.4,2023,2h 43m,PG-13
Violent Night,5.4,2022,1h 52m,R
Maestro,8.7,2023,2h 9m,R
Best. Christmas. Ever!,5.9,2023,1h 22m,TV-PG
The Book of Clarence,7.5,2023,2h 16m,
How the Grinch Stole Christmas,7.5,2000,1h 44m,PG
The Grinch,7.0,2018,1h 25m,PG
Good Burger 2,6.9,2023,1h 30m,TV-PG
Spider-Man: Across the Spider-Verse,5.0,2023,2h 20m,PG
The Marsh King's Daughter,6.8,2023,1h 49m,R
Scott Pilgrim vs. the World,9.2,2010,1h 52m,PG-13
The Hunger Games: Catching Fire,7.6,2013,2h 26m,PG-13
Leave the World Behind,6.6,2023,2h 18m,R
The Holiday,8.7,2006,2h 16m,PG-13
The Naughty Nine,7.1,2023,1h 23m,TV-PG
Reptile,7.9,2023,2h 14m,R
The Godfather,7.6,1972,2h 55m,R
Harry Potter and the Sorcerer's Stone,8.2,2001,2h 32m,PG
The Polar Express,7.1,2004,1h 40m,G
Interstellar,7.7,2014,2h 49m,PG-13
Jawan,6.9,2023,2h 49m,Not Rated
Anatomie d'une chute,6.6,2023,2h 31m,R
Kimitachi wa dô ikiru ka,9.3,2023,2h 4m,PG-13
Die Hard,7.0,1988,2h 12m,R
Talk to Me,6.8,2022,1h 35m,R
John Wick: Chapter 4,6.5,2023,2h 49m,R
The Equalizer 3,7.6,2023,1h 49m,R
The Iron Claw,6.7,2023,2h 10m,
Australia,6.1,2008,2h 45m,PG-13
The Shawshank Redemption,6.5,1994,2h 22m,R
Priscilla,7.8,2023,1h 53m,R
Feast of the Seven Fishes,6.5,2019,1h 39m,
Pain Hustlers,7.8,2023,2h 3m,R
White Christmas,7.7,1954,2h,Not Rated
Eileen,7.1,2023,1h 37m,R
Please Don't Destroy: The Treasure of Foggy Mountain,8.0,2023,1h 32m,R
The Santa Clause,6.3,1994,1h 37m,PG
The Batman,6.8,2022,2h 56m,PG-13
The Hunger Games: Mockingjay - Part 2,6.9,2015,2h 17m,PG-13
Everything Everywhere All at Once,6.2,2022,2h 19m,R
Sound of Freedom,8.5,2023,2h 11m,PG-13
Nyad,7.0,2023,2h 1m,PG-13
Past Lives,8.0,2023,1h 45m,PG-13
Uncharted,7.9,2022,1h 56m,PG-13
Home Alone 2: Lost in New York,NA,1992,2h,PG
Bottoms,NA,2023,1h 31m,R
Old Dads,NA,2023,1h 44m,R
Gladiator,NA,2000,2h 35m,R
Rebel Moon: Part One - A Child of Fire,NA,2023,2h 13m,PG-13
Memory,NA,2023,1h 40m,R
Dune: Part One,NA,2021,2h 35m,PG-13
Argylle,NA,2024,2h 15m,
A Christmas Story,NA,1983,1h 33m,PG
