Movie Names,Ratings
The Marvels,6.0
Five Nights at Freddy's,5.5
The Killer,6.9
Killers of the Flower Moon,8.0
A Haunting in Venice,6.6
Mean Girls,7.1
Nyad,8.5
Oppenheimer,5.1
Locked In,7.2
The Hunger Games: The Ballad of Songbirds & Snakes,7.1
Priscilla,6.5
Pain Hustlers,6.4
No Hard Feelings,8.7
Inside Out 2,6.7
Spider-Man: Across the Spider-Verse,7.1
Quiz Lady,6.2
Jawan,5.9
Napoleon,7.8
Ghostbusters: Frozen Empire,8.4
Old Dads,7.0
Kingdom of the Planet of the Apes,7.7
Fingernails,7.1
The Fall Guy,7.0
Mission: Impossible - Dead Reckoning Part One,6.6
The Holdovers,6.7
Barbie,7.1
Leo,7.0
Talk to Me,7.5
Dumb Money,6.8
X,7.9
Saw X,7.1
Thanksgiving,5.6
Cuando acecha la maldad,7.0
Saltburn,8.5
Reptile,7.7
Anatomie d'une chute,7.3
The Burial,5.2
Voleuses,6.3
The Creator,7.7
Poor Things,6.9
Sound of Freedom,7.6
The Family Plan,7.2
Wish,7.9
Dream Scenario,6.6
What Happens Later,5.7
The Marsh King's Daughter,7.2
John Wick: Chapter 4,5.6
The Equalizer 3,4.9
Kimitachi wa dô ikiru ka,7.7
The Hunger Games,7.1
Tiger 3,7.1
Totally Killer,5.3
Butcher's Crossing,7.1
Gran Turismo,6.7
The Nun II,6.4
The Exorcist: Believer,5.5
Gojira -1.0,9.2
Sly,6.0
Mean Girls,5.6
Foe,4.8
The Super Mario Bros. Movie,6.6
The Last Rifleman,6.1
Fair Play,7.6
Insidious: The Red Door,8.0
The Godfather,6.6
Trolls Band Together,8.7
Freelance,9.3
Expend4bles,6.8
Journey to Bethlehem,8.3
After Death,7.0
The Iron Claw,7.8
Harry Potter and the Sorcerer's Stone,8.2
Past Lives,8.2
Asteroid City,7.1
Interstellar,8.5
The Shawshank Redemption,8.0
Captain Marvel,6.3
Taylor Swift: The Eras Tour,5.8
Elemental,7.1
The Batman,7.9
V for Vendetta,7.7
The Wolf of Wall Street,5.8
Ghostbusters: Afterlife,8.1
Whiplash,6.1
Dune: Part One,6.3
No One Will Save You,6.0
Downsizing,6.1
The Great Escaper,8.9
Guardians of the Galaxy Vol. 3,5.4
Home Alone,7.1
The Other Zoey,6.0
Inside Out,NA
Terrifier 2,NA
Death on the Nile,NA
She Came to Me,NA
Haunted Mansion,NA
Pulp Fiction,NA
The Mummy,NA
How to Have Sex,NA
Blue Beetle,NA
